vehicle_id,make,model,year,vehicle_type,capacity_kg,purchase_date,current_mileage_km,fuel_efficiency_km_l,annual_maintenance_cost,driver_performance_score,vechicle_age,cost_per_km,monthly_milegade,vechicle_age_month,monthlt_milegade,Efficiency category,vehicle_age_years,vehicle_age_months,monthly_mileage,efficiency_category,replacement_action,km_per_year
Veh1022,Mercedes,Modele,2019,Trailer,14716,2022-09-08,310114,2.8,2007.56,67,38,0.0065,680.0746,456,680.0745614035088,Low,3.27,39.2,7911.07,Low,Keep,94932.86
Veh1023,Volvo,Modela,2015,Car,7981,2017-10-19,154954,14.2,997.77,94,97,0.0064,133.122,1164,133.12199312714776,Medium,8.16,97.9,1582.78,Medium,Keep,18993.34
Veh1024,Man,Modelc,2010,Truck,7376,2016-09-21,873641,3.3,3086.34,74,110,0.0035,661.8492,1320,661.8492424242424,Low,9.23,110.8,7884.85,Low,Keep,94618.16
Veh1025,Ford,Modelb,2013,Trailer,17907,2014-03-21,856884,3.2,3365.38,81,140,0.0039,510.05,1680,510.05,Low,11.74,140.9,6081.5,Low,Review for Disposal,72978.06
Veh1026,Volvo,Modeld,2019,Van,19777,2020-10-07,143960,12.9,1250.06,73,61,0.0087,196.6667,732,196.66666666666663,Medium,5.19,62.3,2310.75,Medium,Keep,27729.05
Veh1027,Mercedes,Modelc,2015,Van,19977,2015-06-08,302846,10.0,1848.13,85,125,0.0061,201.8973,1500,201.8973333333333,Low,10.52,126.2,2399.73,Low,Keep,28796.77
Veh1028,Scania,Modela,2024,Van,11160,2024-07-02,31848,12.5,827.52,87,16,0.026,165.875,192,165.875,Medium,1.45,17.4,1830.34,Medium,Keep,21964.14
Veh1029,Man,Modeld,2015,Truck,15124,2015-04-20,418580,4.4,2540.48,82,127,0.0061,274.6588,1524,274.65879265091866,Low,10.66,127.9,3272.71,Low,Review for Disposal,39272.56
Veh1030,Volvo,Modela,2020,Truck,17282,2021-03-26,321508,4.9,1928.69,73,56,0.006,478.4345,672,478.4345238095238,Low,4.72,56.6,5680.35,Low,Keep,68164.24
Veh1031,Ford,Modela,2021,Van,11488,2021-06-09,93641,10.5,1237.16,83,53,0.0132,147.2343,636,147.23427672955975,Medium,4.52,54.2,1727.69,Medium,Keep,20732.32
Veh1032,Ford,Modelb,2014,Van,6240,2020-05-03,234311,10.9,1759.44,61,66,0.0075,295.8472,792,295.84722222222223,Medium,5.62,67.4,3476.42,Medium,Keep,41717.09
Veh1033,Toyota,Modeld,2010,Truck,11453,2017-09-10,1169331,4.0,3151.68,85,98,0.0027,994.3291,1176,994.329081632653,Low,8.26,99.1,11799.51,Low,Keep,141594.07
Veh1034,Toyota,Modeld,2017,Car,11478,2017-08-04,195875,13.2,750.28,73,99,0.0038,164.8779,1188,164.87794612794613,Medium,8.36,100.3,1952.89,Medium,Keep,23434.7
Veh1035,Isuzu,Modelb,2014,Car,13394,2018-10-01,243385,16.3,1134.41,66,85,0.0047,238.6127,1020,238.61274509803923,High,7.21,86.5,2813.7,High,Keep,33764.39
Veh1036,Mercedes,Modelc,2021,Truck,5432,2021-12-30,208738,3.3,1741.12,62,47,0.0083,370.1028,564,370.10283687943263,Low,3.96,47.5,4394.48,Low,Keep,52733.81
Veh1037,Volvo,Modela,2021,Car,14568,2022-06-03,45860,12.1,790.12,82,41,0.0172,93.2114,492,93.21138211382114,Medium,3.53,42.4,1081.6,Medium,Keep,12979.25
Veh1038,Volvo,Modele,2021,Trailer,15178,2021-04-18,269477,4.4,2273.24,77,55,0.0084,408.2985,660,408.29848484848486,Low,4.66,55.9,4820.7,Low,Keep,57848.37
Veh1039,Isuzu,Modela,2014,Trailer,18660,2018-09-23,633667,3.0,2622.5,97,86,0.0041,614.0184,1032,614.0184108527131,Low,7.23,86.8,7300.31,Low,Keep,87603.73
Veh1040,Scania,Modela,2016,Truck,1302,2016-11-11,403933,5.3,2376.71,94,108,0.0059,311.6767,1296,311.6766975308642,Low,9.09,109.1,3702.41,Low,Keep,44428.93
Veh1041,Scania,Modelc,2013,Car,18022,2020-09-16,209131,17.7,1314.12,74,62,0.0063,281.0901,744,281.09005376344084,High,5.25,63.0,3319.54,High,Keep,39834.48
Veh1042,Isuzu,Modela,2015,Van,1055,2016-01-09,206877,12.6,1519.53,84,118,0.0073,146.0996,1416,146.09957627118644,Medium,9.93,119.2,1735.55,Medium,Keep,20826.54
Veh1043,Scania,Modelb,2022,Car,14013,2022-07-18,70919,14.2,616.37,96,40,0.0087,147.7479,480,147.74791666666667,Medium,3.41,40.9,1733.96,Medium,Keep,20807.53
Veh1044,Toyota,Modelb,2013,Trailer,9717,2014-12-28,604214,2.5,3712.9,87,131,0.0061,384.3601,1572,384.3600508905852,Low,10.97,131.6,4591.29,Low,Review for Disposal,55095.5
Veh1045,Volvo,Modeld,2023,Van,9150,2023-08-09,66500,12.6,1131.74,69,27,0.017,205.2469,324,205.2469135802469,Medium,2.35,28.2,2358.16,Medium,Keep,28297.87
Veh1046,Isuzu,Modele,2024,Car,3125,2024-08-09,14675,14.6,656.92,98,15,0.0448,81.5278,180,81.52777777777777,Medium,1.35,16.2,905.86,Medium,Keep,10870.37
Veh1047,Volvo,Modela,2012,Car,12479,2018-08-19,231413,17.8,1266.55,76,87,0.0055,221.66,1044,221.65996168582376,High,7.32,87.8,2635.68,High,Keep,31628.2
Veh1048,Ford,Modela,2016,Car,16745,2017-08-21,163805,17.8,902.98,98,99,0.0055,137.883,1188,137.88299663299662,High,8.32,99.8,1641.33,High,Keep,19695.99
Veh1049,Toyota,Modelc,2017,Van,17748,2017-08-20,189576,12.3,1200.1,81,99,0.0063,159.5758,1188,159.57575757575756,Medium,8.32,99.8,1899.56,Medium,Keep,22794.71
Veh1050,Man,Modelb,2013,Truck,7809,2018-03-10,945400,3.4,3665.83,85,92,0.0039,856.3406,1104,856.3405797101449,Low,7.77,93.2,10143.78,Low,Keep,121725.32
Veh1051,Toyota,Modele,2022,Truck,5621,2022-12-30,213015,3.7,1995.56,84,35,0.0094,507.1786,420,507.1785714285714,Low,2.96,35.5,6000.42,Low,Keep,72005.07
Veh1052,Isuzu,Modeld,2011,Car,16034,2014-09-17,337294,17.1,1163.63,76,134,0.0034,209.76,1608,209.7599502487562,High,11.24,134.9,2500.33,High,Keep,30003.91
Veh1053,Man,Modelb,2021,Truck,14623,2021-12-30,303172,3.5,2441.34,72,47,0.0081,537.539,564,537.5390070921986,Low,3.96,47.5,6382.57,Low,Keep,76590.82
Veh1054,Ford,Modeld,2019,Van,6126,2019-02-06,191747,8.8,1080.93,79,81,0.0056,197.2706,972,197.27057613168725,Low,6.86,82.3,2329.85,Low,Keep,27958.25
Veh1055,Isuzu,Modelc,2023,Truck,6122,2023-05-05,153749,4.2,1794.69,84,30,0.0117,427.0806,360,427.0805555555556,Low,2.61,31.3,4912.11,Low,Keep,58945.3
Veh1056,Mercedes,Modelc,2012,Van,19030,2015-12-02,283008,12.7,1480.36,63,119,0.0052,198.1849,1428,198.18487394957984,Medium,10.04,120.5,2348.61,Medium,Keep,28183.37
Veh1057,Volvo,Modela,2010,Car,18302,2023-06-25,194096,16.2,1234.33,69,29,0.0064,557.7471,348,557.7471264367816,High,2.48,29.8,6513.29,High,Keep,78159.46
Veh1058,Ford,Modele,2017,Car,6870,2017-04-20,85427,15.4,740.27,62,103,0.0087,69.1157,1236,69.11569579288026,High,8.65,103.8,823.0,High,Keep,9875.95
Veh1059,Volvo,Modeld,2024,Truck,2531,2024-07-30,53013,2.8,1398.42,77,16,0.0264,276.1094,192,276.109375,Low,1.38,16.6,3193.55,Low,Keep,38322.65
Veh1060,Scania,Modelb,2012,Car,9172,2016-07-06,205792,15.7,974.06,95,112,0.0047,153.119,1344,153.11904761904762,High,9.44,113.3,1816.35,High,Keep,21796.15
Veh1061,Mercedes,Modelc,2021,Van,8673,2021-02-28,101707,13.0,1186.85,81,57,0.0117,148.6944,684,148.69444444444446,Medium,4.79,57.5,1768.82,Medium,Keep,21225.81
Veh1062,Mercedes,Modela,2019,Truck,7882,2019-06-25,438897,2.9,2636.2,93,77,0.006,474.9968,924,474.99675324675326,Low,6.48,77.8,5641.35,Low,Keep,67696.2
Veh1063,Ford,Modela,2016,Car,2906,2016-08-17,138161,15.1,981.68,67,111,0.0071,103.7245,1332,103.72447447447448,High,9.33,112.0,1233.58,High,Keep,14802.96
Veh1064,Mercedes,Modeld,2019,Van,4086,2021-08-30,153712,12.4,1516.63,99,51,0.0099,251.1634,612,251.1633986928105,Medium,4.29,51.5,2984.7,Medium,Keep,35816.39
Veh1065,Man,Modelc,2014,Truck,14503,2018-10-24,678786,4.7,2992.34,78,85,0.0044,665.4765,1020,665.4764705882353,Low,7.14,85.7,7920.49,Low,Keep,95045.88
Veh1066,Mercedes,Modele,2019,Car,9152,2019-08-26,72683,16.2,731.43,96,75,0.0101,80.7589,900,80.75888888888889,High,6.31,75.7,960.15,High,Keep,11521.74
Veh1067,Volvo,Modelc,2014,Truck,6750,2018-01-15,792966,4.6,3614.43,65,94,0.0046,702.984,1128,702.9840425531914,Low,7.92,95.0,8347.01,Low,Keep,100164.13
Veh1068,Volvo,Modeld,2023,Truck,13772,2023-03-24,85964,3.6,1600.99,85,32,0.0186,223.8646,384,223.86458333333331,Low,2.73,32.8,2620.85,Low,Keep,31450.24
Veh1069,Isuzu,Modeld,2016,Van,11267,2023-10-22,357639,9.5,1801.64,93,25,0.005,1192.13,300,1192.13,Low,2.15,25.8,13861.98,Low,Keep,166343.72
Veh1070,Volvo,Modelc,2024,Truck,2062,2024-09-24,70889,4.9,1328.02,65,14,0.0187,421.9583,168,421.9583333333333,Low,1.22,14.6,4855.41,Low,Keep,58264.93
Veh1071,Isuzu,Modeld,2018,Van,19360,2018-09-23,167820,12.1,1615.61,96,86,0.0096,162.6163,1032,162.61627906976744,Medium,7.23,86.8,1933.41,Medium,Keep,23200.92
Veh1072,Volvo,Modelc,2021,Van,18680,2021-11-04,80441,12.3,915.34,92,48,0.0114,139.6545,576,139.65451388888889,Medium,4.11,49.3,1631.66,Medium,Keep,19579.96
Veh1073,Man,Modelb,2014,Car,7229,2016-09-21,244551,17.5,1214.28,81,110,0.005,185.2659,1320,185.2659090909091,High,9.23,110.8,2207.14,High,Keep,26485.67
Veh1074,Isuzu,Modelc,2010,Car,17509,2015-01-22,309042,15.1,1263.85,80,130,0.0041,198.1038,1560,198.10384615384612,High,10.9,130.8,2362.71,High,Keep,28352.48
Veh1075,Toyota,Modelc,2019,Car,16147,2021-11-20,125610,15.0,957.75,65,48,0.0076,218.0729,576,218.07291666666663,Medium,4.07,48.8,2573.98,Medium,Keep,30887.7
Veh1076,Scania,Modeld,2019,Car,5632,2019-03-02,129414,16.8,663.61,65,80,0.0051,134.8062,960,134.80625,High,6.79,81.5,1587.9,High,Keep,19054.82
Veh1077,Ford,Modeld,2010,Van,7288,2021-08-09,322213,11.2,2043.08,63,51,0.0063,526.4918,612,526.4918300653595,Medium,4.35,52.2,6172.66,Medium,Keep,74071.95
Veh1078,Volvo,Modela,2024,Truck,4596,2024-11-21,54338,4.6,1959.74,89,12,0.0361,377.3472,144,377.34722222222223,Low,1.07,12.8,4245.16,Low,Keep,50941.88
Veh1079,Mercedes,Modela,2011,Van,12475,2017-05-27,312443,12.0,1937.74,70,102,0.0062,255.2639,1224,255.26388888888889,Medium,8.55,102.6,3045.25,Medium,Keep,36543.04
Veh1080,Volvo,Modelb,2023,Van,7168,2023-11-04,74524,12.5,1009.69,89,24,0.0135,258.7639,288,258.7638888888889,Medium,2.11,25.3,2945.61,Medium,Keep,35347.35
Veh1081,Mercedes,Modela,2015,Truck,10795,2017-02-22,649319,3.5,3234.9,90,105,0.005,515.3325,1260,515.3325396825397,Low,8.81,105.7,6143.04,Low,Keep,73716.44
Veh1082,Scania,Modelc,2018,Van,8561,2018-08-19,186325,9.9,1335.27,83,87,0.0072,178.4722,1044,178.47222222222223,Low,7.32,87.8,2122.15,Low,Keep,25465.83
Veh1083,Scania,Modeld,2017,Van,9258,2017-11-04,170169,8.5,1513.47,68,96,0.0089,147.7161,1152,147.71614583333334,Low,8.11,97.3,1748.91,Low,Keep,20986.93
Veh1084,Scania,Modela,2022,Car,17616,2022-08-10,43994,15.5,671.92,62,39,0.0153,94.0043,468,94.0042735042735,High,3.35,40.2,1094.38,High,Keep,13132.54
Veh1085,Mercedes,Modela,2014,Trailer,7371,2014-11-07,583080,2.6,3655.46,90,132,0.0063,368.1061,1584,368.1060606060606,Low,11.1,133.2,4377.48,Low,Review for Disposal,52529.73
Veh1086,Volvo,Modelb,2010,Van,15369,2021-02-20,518881,10.3,1636.36,99,57,0.0032,758.598,684,758.5979532163743,Medium,4.82,57.8,8977.18,Medium,Keep,107726.16
Veh1087,Scania,Modelb,2022,Truck,13910,2022-07-06,196506,4.1,1779.15,96,40,0.0091,409.3875,480,409.3875,Low,3.44,41.3,4758.01,Low,Keep,57096.17
Veh1088,Man,Modelc,2016,Truck,8943,2019-05-07,679396,3.4,3363.47,95,78,0.005,725.8504,936,725.8504273504274,Low,6.61,79.3,8567.41,Low,Keep,102808.98
Veh1089,Isuzu,Modeld,2024,Car,13199,2024-07-27,17083,15.5,635.86,83,16,0.0372,88.974,192,88.97395833333333,High,1.39,16.7,1022.93,High,Keep,12275.21
Veh1090,Mercedes,Modelb,2014,Car,16728,2016-05-11,129733,12.2,1031.38,90,114,0.008,94.8341,1368,94.83406432748538,Medium,9.6,115.2,1126.15,Medium,Keep,13513.85
Veh1091,Mercedes,Modela,2015,Truck,7738,2015-03-02,685297,2.6,3144.16,65,128,0.0046,446.1569,1536,446.1569010416667,Low,10.79,129.5,5291.87,Low,Review for Disposal,63502.42
Veh1092,Volvo,Modeld,2022,Van,16913,2022-06-25,105647,12.1,947.39,61,41,0.009,214.7297,492,214.729674796748,Medium,3.47,41.6,2539.59,Medium,Keep,30475.1
Veh1093,Mercedes,Modeld,2016,Truck,3472,2022-11-11,562059,3.6,2494.46,79,36,0.0044,1301.0625,432,1301.0625,Low,3.09,37.1,15149.84,Low,Keep,181798.06
Veh1094,Mercedes,Modela,2012,Truck,16679,2015-06-21,920902,2.9,3399.9,87,125,0.0037,613.9347,1500,613.9346666666667,Low,10.49,125.9,7314.55,Low,Review for Disposal,87774.61
Veh1095,Scania,Modelb,2021,Truck,2761,2021-02-23,239007,4.1,1976.82,70,57,0.0083,349.4254,684,349.42543859649123,Low,4.81,57.7,4142.24,Low,Keep,49706.83
Veh1096,Volvo,Modela,2019,Truck,11167,2019-01-23,365455,4.8,2480.31,63,82,0.0068,371.3974,984,371.3973577235772,Low,6.89,82.7,4419.04,Low,Keep,53028.54
Veh1097,Scania,Modeld,2012,Trailer,11554,2015-10-19,742321,3.1,2867.27,74,121,0.0039,511.2404,1452,511.2403581267218,Low,10.16,121.9,6089.59,Low,Review for Disposal,73075.08
Veh1098,Isuzu,Modele,2014,Van,18260,2018-09-25,225592,11.1,1998.79,65,86,0.0089,218.5969,1032,218.5968992248062,Medium,7.22,86.6,2604.99,Medium,Keep,31259.86
Veh1099,Isuzu,Modele,2015,Truck,15277,2023-06-28,443156,2.8,3583.45,89,29,0.0081,1273.4368,348,1273.4367816091954,Low,2.47,29.6,14971.49,Low,Keep,179657.84
Veh1100,Scania,Modelc,2018,Car,4812,2018-02-19,73300,12.3,917.37,97,93,0.0125,65.681,1116,65.68100358422939,Medium,7.82,93.8,781.45,Medium,Keep,9377.4
Veh1101,Isuzu,Modela,2022,Car,18844,2022-06-20,58638,15.2,659.39,61,41,0.0112,119.1829,492,119.1829268292683,High,3.49,41.9,1399.47,High,Keep,16793.7
Veh1102,Volvo,Modela,2023,Trailer,19117,2023-03-08,105148,4.1,1662.86,74,32,0.0158,273.8229,384,273.8229166666667,Low,2.77,33.2,3167.11,Low,Keep,38005.3
Veh1103,Ford,Modelc,2021,Truck,2605,2021-05-23,241371,4.4,2363.59,70,54,0.0098,372.4861,648,372.4861111111111,Low,4.56,54.7,4412.63,Low,Keep,52951.59
Veh1104,Scania,Modelc,2014,Truck,6622,2018-07-22,839329,4.7,3382.76,67,88,0.004,794.8191,1056,794.8191287878788,Low,7.4,88.8,9451.9,Low,Keep,113422.84
Veh1105,Man,Modelc,2024,Truck,7767,2024-01-22,49971,5.4,1427.33,85,22,0.0286,189.2841,264,189.2840909090909,Low,1.9,22.8,2191.71,Low,Keep,26300.53
Veh1106,Man,Modeld,2010,Truck,12613,2023-09-12,846229,4.0,4366.39,64,26,0.0052,2712.2724,312,2712.272435897436,Low,2.26,27.1,31226.16,Low,Keep,374713.95
Veh1107,Mercedes,Modela,2023,Truck,11589,2023-05-07,140444,3.5,2032.23,65,30,0.0145,390.1222,360,390.1222222222222,Low,2.61,31.3,4487.03,Low,Keep,53844.35
Veh1108,Isuzu,Modeld,2023,Van,14918,2023-02-28,49151,12.0,1132.72,85,33,0.023,124.1187,396,124.11868686868686,Medium,2.8,33.6,1462.83,Medium,Keep,17553.93
Veh1109,Man,Modelc,2023,Truck,14046,2023-08-13,86158,3.3,1962.52,63,27,0.0228,265.9198,324,265.91975308641975,Low,2.34,28.1,3066.12,Low,Keep,36793.45
Veh1110,Mercedes,Modela,2013,Truck,3590,2014-08-12,619080,3.8,3449.71,78,135,0.0056,382.1481,1620,382.14814814814815,Low,11.34,136.1,4548.71,Low,Review for Disposal,54584.57
Veh1111,Ford,Modeld,2014,Truck,18447,2016-02-05,510937,2.7,3046.99,79,117,0.006,363.9152,1404,363.91524216524215,Low,9.86,118.3,4318.99,Low,Keep,51827.93
Veh1112,Volvo,Modeld,2021,Truck,5324,2021-12-02,308751,2.6,2463.49,92,47,0.008,547.4309,564,547.4308510638298,Low,4.04,48.5,6366.0,Low,Keep,76392.0
Veh1113,Volvo,Modelc,2019,Truck,11787,2019-12-05,433948,5.4,2751.42,79,71,0.0063,509.3286,852,509.3286384976526,Low,6.03,72.4,5993.76,Low,Keep,71925.08
Veh1114,Volvo,Modela,2019,Van,10111,2019-01-01,196008,12.2,1047.15,71,82,0.0053,199.1951,984,199.1951219512195,Medium,6.95,83.4,2350.22,Medium,Keep,28202.59
Veh1115,Man,Modelc,2014,Truck,6342,2019-05-10,823442,4.6,2553.22,60,78,0.0031,879.7457,936,879.7457264957264,Low,6.6,79.2,10396.99,Low,Keep,124763.94
Veh1116,Ford,Modela,2016,Truck,17389,2016-04-26,649321,3.7,2709.17,85,115,0.0042,470.5225,1380,470.5224637681159,Low,9.64,115.7,5612.11,Low,Keep,67345.31
Veh1117,Man,Modele,2013,Van,9659,2014-06-24,284776,8.9,1978.63,73,137,0.0069,173.2214,1644,173.2214111922141,Low,11.48,137.8,2066.59,Low,Keep,24799.07
Veh1118,Isuzu,Modelb,2010,Van,15043,2019-05-01,567767,8.8,2389.82,97,78,0.0042,606.5887,936,606.5886752136752,Low,6.63,79.6,7132.75,Low,Keep,85593.02
Veh1119,Man,Modelb,2023,Truck,9837,2023-01-29,123147,3.3,1548.3,96,34,0.0126,301.8309,408,301.8308823529412,Low,2.88,34.6,3559.16,Low,Keep,42709.94
Veh1120,Ford,Modelb,2023,Truck,1117,2023-07-14,144595,4.1,1867.77,70,28,0.0129,430.3423,336,430.3422619047619,Low,2.42,29.0,4986.03,Low,Keep,59832.41
Veh1121,Ford,Modelc,2014,Truck,14917,2015-07-16,834280,4.6,2999.92,95,124,0.0036,560.672,1488,560.6720430107526,Low,10.42,125.0,6674.24,Low,Review for Disposal,80090.88
Veh1122,Isuzu,Modele,2016,Car,19935,2016-12-21,132930,16.0,1128.57,72,107,0.0085,103.528,1284,103.52803738317758,High,8.98,107.8,1233.12,High,Keep,14797.4
Veh1123,Ford,Modela,2019,Van,15309,2019-06-04,133206,9.4,1455.16,62,77,0.0109,144.1623,924,144.16233766233765,Low,6.53,78.4,1699.06,Low,Keep,20388.67
Veh1124,Ford,Modeld,2019,Van,14234,2019-10-04,147352,12.8,1453.22,92,73,0.0099,168.21,876,168.21004566210047,Medium,6.2,74.4,1980.54,Medium,Keep,23766.45
Veh1125,Volvo,Modela,2015,Car,6560,2022-04-14,164066,16.4,987.48,65,43,0.006,317.9574,516,317.9573643410853,High,3.67,44.0,3728.77,High,Keep,44745.27
Veh1126,Isuzu,Modeld,2014,Truck,1846,2017-03-19,799926,4.2,3042.67,69,104,0.0038,640.9663,1248,640.9663461538462,Low,8.74,104.9,7625.61,Low,Keep,91507.26
Veh1127,Toyota,Modela,2013,Car,11954,2021-04-10,274931,15.7,1000.3,64,55,0.0036,416.5621,660,416.5621212121212,High,4.68,56.2,4892.01,High,Keep,58704.13
Veh1128,Toyota,Modele,2011,Van,14703,2018-07-16,281946,10.1,1579.3,82,88,0.0056,266.9943,1056,266.9943181818182,Medium,7.42,89.0,3167.93,Medium,Keep,38015.19
Veh1129,Ford,Modeld,2013,Truck,16385,2016-06-02,725158,3.2,3781.43,69,113,0.0052,534.7773,1356,534.7772861356932,Low,9.54,114.5,6333.26,Low,Keep,75999.09
Veh1130,Toyota,Modelc,2024,Van,14746,2024-03-31,28348,9.8,990.14,61,20,0.0349,118.1167,240,118.11666666666666,Low,1.71,20.5,1382.83,Low,Keep,16593.95
Veh1131,Toyota,Modela,2019,Car,7469,2019-07-30,79989,16.5,959.91,72,76,0.012,87.7072,912,87.70723684210526,High,6.38,76.6,1044.24,High,Keep,12530.91
Veh1132,Ford,Modela,2019,Van,10333,2020-03-09,134383,8.1,1534.28,99,68,0.0114,164.685,816,164.68504901960785,Low,5.77,69.2,1941.95,Low,Keep,23303.41
Veh1133,Toyota,Modeld,2012,Trailer,17608,2015-01-19,695559,2.8,3526.5,61,130,0.0051,445.8712,1560,445.87115384615385,Low,10.9,130.8,5317.73,Low,Review for Disposal,63812.75
Veh1134,Man,Modelc,2019,Truck,13819,2023-04-14,466298,2.6,2658.23,79,31,0.0057,1253.4892,372,1253.489247311828,Low,2.67,32.0,14571.81,Low,Keep,174861.75
Veh1135,Mercedes,Modelc,2010,Car,5208,2014-03-26,222720,12.2,1472.38,60,140,0.0066,132.5714,1680,132.57142857142858,Medium,11.72,140.6,1584.07,Medium,Keep,19008.82
Veh1136,Isuzu,Modele,2017,Truck,7283,2017-05-16,486012,5.1,3077.62,96,102,0.0063,397.0686,1224,397.0686274509804,Low,8.58,103.0,4718.56,Low,Keep,56622.76
Veh1137,Mercedes,Modelc,2014,Car,3048,2023-07-08,225998,16.2,943.89,68,28,0.0042,672.6131,336,672.6130952380952,High,2.44,29.3,7713.24,High,Keep,92558.91
Veh1138,Ford,Modelc,2022,Van,7233,2022-04-09,81817,10.4,1019.43,76,43,0.0125,158.5601,516,158.56007751937983,Medium,3.69,44.3,1846.88,Medium,Keep,22162.62
Veh1139,Volvo,Modelc,2013,Truck,13941,2022-04-06,946455,2.8,2810.49,68,43,0.003,1834.2151,516,1834.2151162790697,Low,3.69,44.3,21364.67,Low,Keep,256376.07
Veh1140,Isuzu,Modelb,2017,Truck,13607,2017-07-24,627983,4.0,3190.38,70,100,0.0051,523.3192,1200,523.3191666666667,Low,8.39,100.7,6236.18,Low,Keep,74834.12
